# notes:
# this table was generated applying 10^r to the second column
# because the data was log10(N_e/N_A)
# the negative points were symmetrized to interpolate zero radius
#
#  raio          N_e / N_A
 0.0077132   1.0260912874e+02
 0.0077542   1.0260558481e+02
 0.0077793   1.0260345851e+02
 0.0078042   1.0260109600e+02
 0.0078290   1.0259896979e+02
 0.0078781   1.0259471751e+02
 0.0079024   1.0259259143e+02
 0.0079506   1.0258833941e+02
 0.0079763   1.0258597726e+02
 0.0080273   1.0258148931e+02
 0.0080777   1.0257700156e+02
 0.0081027   1.0257463966e+02
 0.0081521   1.0257038839e+02
 0.0081785   1.0256779047e+02
 0.0082308   1.0256306716e+02
 0.0082825   1.0255834407e+02
 0.0083081   1.0255598260e+02
 0.0083588   1.0255125983e+02
 0.0083859   1.0254866240e+02
 0.0084395   1.0254370385e+02
 0.0084661   1.0254134273e+02
 0.0085188   1.0253638453e+02
 0.0085708   1.0253142658e+02
 0.0085986   1.0252859357e+02
 0.0086536   1.0252339992e+02
 0.0086809   1.0252080320e+02
 0.0087349   1.0251560995e+02
 0.0087883   1.0251041696e+02
 0.0088168   1.0250758453e+02
 0.0088732   1.0250191991e+02
 0.0089012   1.0249932373e+02
 0.0089566   1.0249365956e+02
 0.0090113   1.0248823170e+02
 0.0090406   1.0248539988e+02
 0.0090985   1.0247950052e+02
 0.0091557   1.0247360149e+02
 0.0091840   1.0247077008e+02
 0.0092402   1.0246510749e+02
 0.0092702   1.0246204039e+02
 0.0093296   1.0245590646e+02
 0.0093883   1.0244977289e+02
 0.0094173   1.0244670625e+02
 0.0094749   1.0244080911e+02
 0.0095057   1.0243750686e+02
 0.0095667   1.0243090268e+02
 0.0096269   1.0242453477e+02
 0.0096567   1.0242146888e+02
 0.0097158   1.0241510156e+02
 0.0097473   1.0241156433e+02
 0.0098099   1.0240496182e+02
 0.0098716   1.0239812396e+02
 0.0099022   1.0239482309e+02
 0.0099628   1.0238798591e+02
 0.0099952   1.0238444961e+02
 0.0100593   1.0237737739e+02
 0.0101227   1.0237030566e+02
 0.0101541   1.0236676997e+02
 0.0102162   1.0235969897e+02
 0.0102494   1.0235592797e+02
 0.0103152   1.0234862205e+02
 0.0103801   1.0234108100e+02
 0.0104123   1.0233731069e+02
 0.0104760   1.0233000610e+02
 0.0105097   1.0232600057e+02
 0.0105763   1.0231822560e+02
 0.0106422   1.0231068679e+02
 0.0106748   1.0230668202e+02
 0.0107394   1.0229914407e+02
 0.0107740   1.0229490421e+02
 0.0108423   1.0228666055e+02
 0.0109099   1.0227865305e+02
 0.0109433   1.0227464954e+02
 0.0110096   1.0226664299e+02
 0.0110450   1.0226216901e+02
 0.0111152   1.0225369254e+02
 0.0111844   1.0224521677e+02
 0.0112188   1.0224097914e+02
 0.0112868   1.0223250443e+02
 0.0113231   1.0222779656e+02
 0.0113950   1.0221885220e+02
 0.0114661   1.0220990862e+02
 0.0115013   1.0220543712e+02
 0.0115710   1.0219649472e+02
 0.0116083   1.0219178850e+02
 0.0116820   1.0218237673e+02
 0.0117549   1.0217296581e+02
 0.0117910   1.0216826068e+02
 0.0118626   1.0215885107e+02
 0.0119008   1.0215391137e+02
 0.0119764   1.0214379750e+02
 0.0120512   1.0213391979e+02
 0.0120882   1.0212898130e+02
 0.0121616   1.0211934017e+02
 0.0122008   1.0211393213e+02
 0.0122784   1.0210358711e+02
 0.0123551   1.0209300806e+02
 0.0123930   1.0208783647e+02
 0.0124683   1.0207772914e+02
 0.0125085   1.0207208827e+02
 0.0125880   1.0206104247e+02
 0.0126666   1.0205023285e+02
